prefix,first_name,last_name,gender,phone_number,email,vehicle_description,vehicle_brand,manufacturing_year,model_name,vehicle_type,vehicle_condition,transmission_type,engine_capacity,drive_type,fuel_type,fuel_consumption,kilometres_driven,vehicle_colour,secondary_address,building_number,street_name,street_suffix,location,engine_cylinders,body_type,doors,seats,price
Dr.,Julie,Deleon,f,6888.0241,knoxbrandon@example.com,2013 Holden Colorado LT (4X4),Holden,2013.0,Colorado,Ute / Tray,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,9.1 L / 100 km,170161,White / Grey,483/,705,Victoria Top,Gates,"Pinkenba, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,25990
Mrs.,Courtney,Santiago,f,07 8158 6947,vjenkins@example.com,2013 Mitsubishi Triton GL-R (4X4),Mitsubishi,2013.0,Triton,Ute / Tray,USED,Automatic,"4 cyl, 2.5 L",4WD,Diesel,9.9 L / 100 km,303937,Silver / Grey,Unit 94 ,8,Meyer Place,Dip,"Edgeworth, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,13990
,Charles,Contreras,u,0487-604-192,zlee@example.net,2013 Mazda CX-5 Maxx Sport (4X2),Mazda,2013.0,CX-5,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.4 L / 100 km,112917,- / -,Apt. 511 ,30,Dennis Fire Track,Highroad,"Vermont, VIC",4 cyl,SUV, 4 Doors, 5 Seats,22500
Mrs.,Kristen,Porter,f,7733-5720,melanielara@example.net,2010 Mercedes-Benz GL-Class 350 CDI,Mercedes-Benz,2010.0,GL-Class,Auzzi Motors,USED,Automatic,-,Other,-,-,160159,Red / -,Flat 00 ,9,Jason Corner,Riviera,"Merrylands, NSW",-,Wagon,,,28900
Mr.,Uthkarsh,Sura,m,+61 7 5841 7650,ugreen@example.org,2017 Volkswagen Amarok V6 TDI 550 Ultimate,Volkswagen,2017.0,Amarok,Ute / Tray,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.8 L / 100 km,151400,Grey / Black,Suite 439 ,1,Dana Road,Riviera,"Cheltenham, VIC",6 cyl,Ute / Tray, 4 Doors, 5 Seats,38900
,Danielle,Guzman,u,+61-445-211-408,yrhodes@example.net,2015 Mercedes-Benz GLE450 AMG 4Matic,Mercedes-Benz,2015.0,GLE450,SUV,USED,Automatic,"6 cyl, 3 L",AWD,Premium,9.4 L / 100 km,122231,Blue / Black,Level 1 ,9,Gordon Ramble,Deviation,"Port Melbourne, VIC",6 cyl,SUV, 4 Doors, 5 Seats,61990
Mr.,Jonathan,Conway,m,+61.414.567.472,elizabethwarner@example.net,2010 BMW X1 Xdrive 20D,BMW,2010.0,X1,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,6.2 L / 100 km,181866,Black / -,Level 4 ,51,Nicole Towers,Park,"Minchinbury, NSW",4 cyl,SUV, 4 Doors, 5 Seats,11800
Mr.,Charles,Middleton,m,(08) 6519 3023,wrodriguez@example.com,2013 Ford Kuga Titanium (awd),Ford,2013.0,Kuga,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,6.4 L / 100 km,131930,Yellow / -,853/,535,Thomas Cruiseway,Corso,"Liverpool, NSW",4 cyl,SUV, 4 Doors, 5 Seats,17950
Mrs.,Emily,Moore,f,0446-209-906,kevin82@example.com,2013 BMW 320I,BMW,2013.0,320I,Sedan,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6 L / 100 km,84086,Grey / Black,Apt. 217 ,0,Sharon Highway,Riviera,"Bunbury, WA",4 cyl,Sedan, 4 Doors, 5 Seats,22990
Dr.,Mariela,Gloria,f,(02) 8710 0672,wileycathy@example.com,2017 Mercedes-Benz Vito 114 Bluetec LWB,Mercedes-Benz,2017.0,Vito,Commercial,USED,Automatic,"4 cyl, 2.1 L",Rear,Diesel,6.1 L / 100 km,165923,White / Grey,6/,5,Sanders Alley,Landing,"Hamilton North, NSW",4 cyl,Commercial, 4 Doors, 2 Seats,28990
,Elijah,Casey,u,02-8186-8631,matthewosborne@example.net,2014 Ford Ranger XL 2.2 (4X2),Ford,2014.0,Ranger,Ute / Tray,USED,Manual,"4 cyl, 2.2 L",Rear,Diesel,7.6 L / 100 km,161023,White / Grey,Unit 13 ,98,Kristine Artery,River,"Wilston, QLD",4 cyl,Ute / Tray, 2 Doors, 2 Seats,15990
,Alexandra,Barnett,u,+61.411.090.524,mandy04@example.com,1998 Toyota Landcruiser GXL (4X4),Toyota,1998.0,Landcruiser,SUV,USED,Automatic,"6 cyl, 4.5 L",4WD,Unleaded,0 L / 100 km,312000,Green / -,96/,0,William Garden,Walk,"Archerfield, QLD",6 cyl,SUV, 4 Doors, 8 Seats,16500
Dr.,Peter,Wright,m,9307-3746,tmaldonado@example.org,2011 Ford Territory TX (rwd),Ford,2011.0,Territory,SUV,USED,Automatic,"6 cyl, 2.7 L",Rear,Diesel,8.2 L / 100 km,173093,White / -,9/,836,Kelly Approach,Tollway,"Forbes, NSW",6 cyl,SUV, 4 Doors, 5 Seats,11990
Mr.,David,Henry,m,+61-401-552-644,nmiller@example.org,2016 Ford Ecosport Trend,Ford,2016.0,Ecosport,SUV,USED,Manual,"3 cyl, 1 L",Front,Premium,5.7 L / 100 km,107602,Grey / -,Level 3 ,908,Jacqueline Rise,Intersection,"Wauchope, NSW",3 cyl,SUV, 4 Doors, 5 Seats,12750
,Dakota,Smith,u,+61 469 825 334,brandon21@example.net,2012 Holden Captiva 7 LX (4X4),Holden,2012.0,Captiva,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.1 L / 100 km,172240,Black / -,Apt. 224 ,0,Elizabeth Ramp,Place,"Westcourt, QLD",4 cyl,SUV, 4 Doors, 7 Seats,10999
,Elizabeth,Pierce,u,+61-7-8990-4521,peckjeremy@example.net,2015 Mazda BT-50 XTR (4X4),Mazda,2015.0,BT-50,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,9.2 L / 100 km,132707,White / Grey,186/,537,Heather Distributor,Edge,"Woodridge, QLD",5 cyl,Ute / Tray, 4 Doors, 5 Seats,37990
Mr.,Thomas,Donaldson,m,0458.137.200,andrew50@example.com,2017 Toyota Hilux SR (4X4),Toyota,2017.0,Hilux,Ute / Tray,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,9 L / 100 km,222883,White / Grey,Flat 53 ,6,Ruiz Flat,Gates,"Woodridge, QLD",4 cyl,Ute / Tray, 2 Doors, 2 Seats,34990
Dr.,Mrs.,Rebecca,f,0335357691,brandonwheeler@example.net,2014 Jeep Grand Cherokee Blackhawk,Jeep,2014.0,Grand,SUV,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5 L / 100 km,185195,White / -,Flat 73 ,737,Watkins Anchorage,Place,"Bentley, WA",6 cyl,SUV, 4 Doors, 5 Seats,26999
Ms.,Ruth,Sanchez,f,0441.118.854,johnsonamanda@example.net,2015 BMW 1 Series 118i Steptronic Sport Line,BMW,2015.0,1,Phillips & Co Automotive,USED,Automatic,-,Rear,Premium,-,86845,Black / Black,7/,8,Frazier Key,Port,"Brookvale, NSW",-,Hatchback,,,21999
Ms.,Jessica,Sloan,f,07 5356 6082,maria31@example.com,2015 Mazda 3 SP25 GT,Mazda,2015.0,3,Hatchback,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.1 L / 100 km,260385,White / -,Apt. 262 ,9,Byrd Colonnade,Fairway,"Minto, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,13950
Mr.,John,Waller,m,+61 3 0972 6072,madisonroberts@example.com,2017 Honda Civic Type R,Honda,2017.0,Civic,Hatchback,USED,Manual,"4 cyl, 2 L",Front,Premium,8.8 L / 100 km,31685,White / Black & Red Cloth,2/,5,Noah Plaza,Upper,"Golden Square, VIC",4 cyl,Hatchback, 5 Doors, 4 Seats,55990
,William,Thomas,u,+61.7.3425.3259,john05@example.net,2015 Hyundai Santa FE Highlander Crdi (4X4),Hyundai,2015.0,Santa,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.3 L / 100 km,217309,Gold / -,Level 8 ,5,Toni Strip,Right Of Way,"Nailsworth, SA",4 cyl,SUV, 4 Doors, 7 Seats,22980
Mrs.,Melanie,Hughes,f,+61 3 0246 3778,tiffany96@example.net,2015 Honda HR-V VTI-S,Honda,2015.0,HR-V,SUV,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.9 L / 100 km,71168,Silver / -,Level 9 ,4,Owen Access,Landing,"Rockingham, WA",4 cyl,SUV, 4 Doors, 5 Seats,21999
Mr.,Joseph,Williams,m,67508309,joycetony@example.com,2011 Ford Falcon XR6T,Ford,2011.0,Falcon,Ute / Tray,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,12.5 L / 100 km,204221,Grey / -,Unit 90 ,52,Sweeney Anchorage,Firetrail,"Liverpool, NSW",6 cyl,Ute / Tray, 2 Doors, 2 Seats,32950
Mr.,Matthew,Edwards,m,+61373399483,sandersmichael@example.org,2015 Toyota Landcruiser Prado Kakadu (4X4),Toyota,2015.0,Landcruiser,SUV,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8 L / 100 km,185077,Blue / -,397/,5,Guerrero Plateau,Gap,"Minto, NSW",4 cyl,SUV, 4 Doors, 7 Seats,46950
Dr.,Kristina,Aguilar,f,(07).3686.6389,heather25@example.com,2017 Hyundai Veloster SR Turbo,Hyundai,2017.0,Veloster,Hatchback,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,7.1 L / 100 km,116885,Red / -,Unit 46 ,64,Gabriel Parklands,Flat,"Mackay, QLD",4 cyl,Hatchback, 3 Doors, 4 Seats,24990
Dr.,Megan,Caldwell,f,+61.8.1100.8067,emily98@example.com,2010 Nissan Patrol ST (4X4),Nissan,2010.0,Patrol,SUV,USED,Automatic,"4 cyl, 3 L",4WD,Diesel,11.8 L / 100 km,209470,White / Cloth,27/,58,Ryan Fire Track,Crossing,"Elderslie, NSW",4 cyl,SUV, 4 Doors, 7 Seats,24999
Mr.,Paul,Richardson,m,(03).1915.4264,hannahpowell@example.org,2017 Mercedes-Benz V250 D Avantgarde,Mercedes-Benz,2017.0,V250,Wagon,USED,Automatic,"4 cyl, 2.1 L",Rear,Diesel,6.3 L / 100 km,130677,White / Leather,72/,962,Salinas Siding,Pocket,"Moorooka, QLD",4 cyl,Wagon, 4 Doors, 7 Seats,58990
Mrs.,Erika,Brooks,f,0744136181,cheryllogan@example.net,1997 Subaru Sambar Supercharger Supercharger,Subaru,1997.0,Sambar,Edward Lees Imports,USED,Automatic,-,Other,Premium,-,76883,Brown / Beige,Apt. 049 ,5,Rodney Glade,Mew,"West Ryde, NSW",-,Wagon,,,21888
Mrs.,Cindy,Doyle,f,0498-906-751,fryeeric@example.net,2015 Skoda Superb 125 TDI Elegance,Skoda,2015.0,Superb,Wagon,USED,Automatic,"4 cyl, 2 L",Front,Diesel,5.6 L / 100 km,202702,Grey / Black,Apt. 125 ,2,Cruz Brace,Slope,"Lilydale, VIC",4 cyl,Wagon, 4 Doors, 5 Seats,15990
Ms.,Brenda,Riddle,f,0225556054,brandonswanson@example.com,2017 Hyundai Santa FE Active X,Hyundai,2017.0,Santa,SUV,USED,Automatic,"6 cyl, 3.3 L",Front,Unleaded,10.5 L / 100 km,141007,White / Black,146/,5,Barrett Villas,Ridgeway,"Essendon Fields, VIC",6 cyl,SUV, 4 Doors, 7 Seats,24990
Mr.,Randy,Carr,m,0451 587 932,natalieanderson@example.org,2000 Honda Integra Type-R,Honda,2000.0,Integra,Coupe,USED,Manual,"4 cyl, 1.8 L",Front,Premium,9 L / 100 km,205364,Black / Black,Suite 920 ,3,Nicole Front,Right Of Way,"Chipping Norton, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,48880
Dr.,Samuel,Williams,m,(02).1421.7179,kelly84@example.org,2014 Audi A4 2.0 Tfsi Quattro,Audi,2014.0,A4,Sedan,USED,Automatic,"4 cyl, 2 L",AWD,Premium,7 L / 100 km,101000,Blue / Black Leather,Suite 912 ,3,Olson Part,Alleyway,"Frankston, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,20888
Dr.,Amanda,Butler,f,(02)-7346-8854,tracy46@example.net,2007 Mitsubishi Triton GLX,Mitsubishi,2007.0,Triton,Ute / Tray,USED,Manual,"4 cyl, 2.4 L",Rear,Unleaded,10.9 L / 100 km,296841,White / Black,8/,34,Jimenez Rest,Entrance,"Wauchope, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,8750
Dr.,Njabulo,Manzi-Gadlela,f,+61 3 1012 2080,pamelaramirez@example.org,2012 Subaru Liberty Exiga Premium,Subaru,2012.0,Liberty,Wagon,USED,Automatic,"4 cyl, 2.5 L",AWD,Premium,8.6 L / 100 km,276963,Silver / -,Flat 40 ,494,Miller Pocket,Street,"Cardiff, NSW",4 cyl,Wagon, 4 Doors, 6 Seats,8913
,Teresa,Thomas,u,(02).5821.6826,salexander@example.org,2016 Toyota RAV4 GXL (2WD),Toyota,2016.0,RAV4,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,122351,Blue / Black,4/,6,Amber Riviera,Beach,"Brookvale, NSW",4 cyl,SUV, 4 Doors, 5 Seats,25990
,Shane,Nguyen,u,08 4584 8214,knightkyle@example.org,2015 Hyundai I40 Active,Hyundai,2015.0,I40,Sedan,USED,Automatic,"4 cyl, 1.7 L",Front,Diesel,5.6 L / 100 km,144983,White / -,86/,4,Jon Key,Parkway,"Ringwood, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,14999
,Lauren,Torres,u,+61 8 2551 6920,vadams@example.net,2010 Suzuki Grand Vitara 4x4,Suzuki,2010.0,Grand,Automotion Used Cars - Sale,USED,Manual,-,Other,-,-,234200,White / Grey,Apt. 576 ,951,Alexander Lees,End,"Sale, VIC",-,Wagon,,,9419
,Samuel,Holland,u,(07).6334.1244,alicebaker@example.net,2012 Nissan Caravan DX,Nissan,2012.0,Caravan,Melbourne Automobiles Pty Ltd,USED,Automatic,-,Other,Diesel,-,286909,White / Black,Suite 340 ,3,Jackie Reserve,Entrance,"Braeside, VIC",-,Commercial,,,23888
Dr.,Katrina,Lawrence,f,0456-490-151,bobby62@example.com,2004 Toyota Corolla Ascent Seca,Toyota,2004.0,Corolla,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.8 L / 100 km,326000,White / Black,Unit 98 ,9,Stacey Interchange,Avenue,"Brooklyn, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,6499
Dr.,Jacob,Brock,m,8597.1255,tonya59@example.net,2009 Toyota Estima ACR50,Toyota,2009.0,Estima,Don Frost Car Sales,USED,Automatic,-,Other,Unleaded,-,112800,White / -,Suite 835 ,97,Savage Walk,Pass,"Arundel, QLD",-,Wagon,,,17150
Mrs.,Michelle,Parsons,f,8137.8108,natasha65@example.com,2017 Toyota C-HR Koba (awd),Toyota,2017.0,C-HR,SUV,USED,Automatic,"4 cyl, 1.2 L",AWD,Premium,5.6 L / 100 km,63052,Grey / -,Level 7 ,2,John Avenue,Promenade,"Busselton, WA",4 cyl,SUV, 4 Doors, 5 Seats,34990
Dr.,Mr.,Mark,m,(02).8399.0786,scottmelissa@example.org,2013 Land Rover Discovery 4 3.0 SDV6 SE,Land,2013.0,Rover,SUV,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,9.3 L / 100 km,160007,- / -,Flat 55 ,615,Tiffany Expressway,Plateau,"Wickham, NSW",6 cyl,SUV, 4 Doors, 7 Seats,31888
,Janet,Gray,u,+61-478-912-735,arnoldrobert@example.org,2015 Mercedes-Benz A200 BE,Mercedes-Benz,2015.0,A200,Hatchback,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,6.1 L / 100 km,77431,Grey / Black,875/,667,Amanda Hill,Rest,"Phillip, ACT",4 cyl,Hatchback, 5 Doors, 5 Seats,29990
Dr.,Charles,Alvarado,m,0433.859.244,william58@example.org,2017 Toyota Corolla Hybrid,Toyota,2017.0,Corolla,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.1 L / 100 km,65903,White / Grey,30/,581,Bryan Plateau,Flat,"Melrose Park, SA",4 cyl,Hatchback, 5 Doors, 5 Seats,26980
Mr.,Thomas,Smith,m,0404 051 088,floydjason@example.net,2008 Nissan Elgrand,Nissan,2008.0,Elgrand,Motorman Imports,USED,Automatic,-,Other,-,-,127000,Black / -,Level 9 ,6,Thomas Range,Nook,"Slacks Creek, QLD",-,Wagon,,,18000
Mrs.,Sharon,Hopkins,f,58516388,gpittman@example.net,2015 Hyundai I20 Active,Hyundai,2015.0,I20,John Hughes Group - Auto Warehouse,USED,Manual,-,Front,Unleaded,-,39520,White / -,Unit 58 ,5,Bernard Front,Viaduct,"Victoria Park, WA",-,Hatchback,,,14999
,Megan,Choi,u,+61 456 811 903,beverly07@example.org,2016 Nissan X-Trail ST-L (fwd),Nissan,2016.0,X-Trail,SUV,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,108000,White / Leather,Unit 06 ,0,Andrew Strand,Bridge,"Epping, VIC",4 cyl,SUV, 4 Doors, 5 Seats,23705
,Georgia,Taylor,u,02-7007-0640,micheal94@example.com,2015 Toyota HiAce LWB CREW,Toyota,2015.0,HiAce,Custom Coaster Conversions,USED,Automatic,-,Rear,Diesel,-,138410,Burgundy / -,52/,363,Flowers Fairway,Circuit,"Casino, NSW",-,Commercial, 5 Seats,,29990
,Nichole,Harvey,u,+61830900276,briannelson@example.com,2016 Audi A4 1.4 Tfsi S Tronic Sport,Audi,2016.0,A4,Sedan,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.5 L / 100 km,96256,Blue / -,Apt. 964 ,54,Torres Glade,Street,"Bentley, WA",4 cyl,Sedan, 4 Doors, 5 Seats,26999
,Nicholas,Fitzgerald,u,0886362534,francisryan@example.net,2015 Jeep Cherokee Limited (4X4),Jeep,2015.0,Cherokee,SUV,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,5.8 L / 100 km,145643,Grey / Black,Unit 61 ,97,Williams Quays,State Highway,"Bunbury, WA",4 cyl,SUV, 4 Doors, 5 Seats,21990
Mr.,James,Branch,m,(03)-1229-1466,jesusserrano@example.com,2011 Nissan Elgrand Highway Star Premium,Nissan,2011.0,Elgrand,Nippon Motors,USED,Automatic,-,Front,Unleaded,-,121813,Black / Black,Apt. 974 ,6,Grant Roadside,Beach,"Ingleburn, NSW",-,Wagon,,,26900
,Danielle,Stewart,u,0125.9046,rhonda35@example.com,2016 Toyota Landcruiser Prado GX (4X4),Toyota,2016.0,Landcruiser,SUV,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8 L / 100 km,248785,White / -,Apt. 551 ,275,Berger Dale,Footway,"Winnellie, NT",4 cyl,SUV, 4 Doors, 5 Seats,44990
Dr.,Christopher,Cook,m,+61 8 3727 0603,jonathandominguez@example.org,2002 Nissan Elgrand Highway Star,Nissan,2002.0,Elgrand,Nippon Motors,USED,Automatic,-,Rear,Unleaded,-,68497,White / Beige,8/,2,Williams Run,Interchange,"Ingleburn, NSW",-,Commercial,,,13900
,Mark,Mills,u,0444.272.424,vicki77@example.net,2017 BMW X4 Xdrive 20D,BMW,2017.0,X4,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.4 L / 100 km,95888,Grey / Black,56/,90,Robinson Heights,Mount,"Ringwood, VIC",4 cyl,SUV, 5 Doors, 5 Seats,38888
,Olivia,Savage,u,02 4801 7423,sshelton@example.org,2009 Toyota Estima X (hybrid),Toyota,2009.0,Estima,Nippon Motors,USED,Automatic,-,Other,Unleaded,-,165589,Black / Beige,Flat 21 ,86,Jacobs Tollway,Pass,"Ingleburn, NSW",-,Commercial,,,19900
,Gregory,Thomas,u,+61 447 361 255,hicksbrandon@example.net,2013 Mitsubishi Outlander Aspire (4X4),Mitsubishi,2013.0,Outlander,SUV,USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,7.5 L / 100 km,98160,Orange / Black,9/,846,Yolanda Colonnade,Port,"Mile End, SA",4 cyl,SUV, 4 Doors, 7 Seats,20999
Mr.,Jeffrey,Curtis,m,(08)-0595-9153,jamesgarrett@example.org,2013 Jeep Grand Cherokee Limited (4X4),Jeep,2013.0,Grand,SUV,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5 L / 100 km,225041,White / Leather,Flat 61 ,8,Smith Retreat,Rue,"Belconnen, ACT",6 cyl,SUV, 4 Doors, 5 Seats,20930
,Timothy,Foster,u,6004-3438,codydean@example.net,2010 Volkswagen Golf R,Volkswagen,2010.0,Golf,Hatchback,USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.7 L / 100 km,133808,Blue / Black,Unit 36 ,42,Tammy Freeway,Lane,"Mordialloc, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,24999
,Paul,Ewart,u,(03).1565.3695,zespinoza@example.org,2014 Holden Colorado LX (4X2),Holden,2014.0,Colorado,Ute / Tray,USED,Automatic,"4 cyl, 2.8 L",Rear,Diesel,8.8 L / 100 km,290114,White / Grey,Level 9 ,6,Lloyd Court,Walkway,"Ravenhall, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,14999
Ms.,Dr.,Michelle,f,6253 5312,crystallara@example.com,2015 Volkswagen Amarok TDI400 (4X4),Volkswagen,2015.0,Amarok,Ute / Tray,USED,Manual,"4 cyl, 2 L",4WD,Diesel,7.8 L / 100 km,98000,Silver / -,Suite 069 ,522,David Strip,Cove,"Osborne Park, WA",4 cyl,Ute / Tray, 2 Doors, 2 Seats,31990
Mrs.,Tamara,Garrison,f,+61 456 056 490,danielleshields@example.com,2016 Holden Commodore SV6,Holden,2016.0,Commodore,Sedan,USED,Manual,"6 cyl, 3.6 L",Rear,Unleaded,9.7 L / 100 km,66518,Blue / Leather,Apt. 449 ,27,Rodriguez Reserve,Pocket,"Berwick, VIC",6 cyl,Sedan, 4 Doors, 5 Seats,28999
Mr.,Sean,Wallace,m,+61-8-5815-4542,troystone@example.com,2014 BMW 220D Sport Line,BMW,2014.0,220D,Coupe,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,4.4 L / 100 km,56877,Silver / -,004/,8,Robert Interchange,Meander,"Beresfield, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,28800
Dr.,Stephen,Scott,m,5305.1413,cynthiaray@example.net,2015 Land Rover Range Rover Sport 3.0 V6 SC HSE,Land,2015.0,Rover,SUV,USED,Automatic,"6 cyl, 3 L",AWD,Premium,11.3 L / 100 km,105255,White / -,Apt. 445 ,32,Lopez Top,Cross,"Rozelle, NSW",6 cyl,SUV, 4 Doors, 5 Seats,59800
,Dana,Gardner,u,+61.7.8240.3532,gregory58@example.net,2014 Holden Cruze Equipe,Holden,2014.0,Cruze,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.4 L / 100 km,131325,Black / Black,Unit 07 ,7,Watts Entrance,Service Way,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10999
Mr.,Tyler,Valdez,m,+61 438 649 236,brandon76@example.net,2014 Nissan Navara ST (4X4),Nissan,2014.0,Navara,Ute / Tray,USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.8 L / 100 km,172899,White / Black,616/,4,Eric Artery,Retreat,"Wangara, WA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,19990
,Sheila,Levine,u,(08)-5484-5471,foleyteresa@example.net,2009 Subaru Liberty 2.5I,Subaru,2009.0,Liberty,Sedan,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,9.3 L / 100 km,93914,Grey / -,Level 1 ,48,Roberts Thoroughfare,Rise,"Eastern Creek, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,11995
Dr.,Kathleen,Williams,f,+61.437.293.155,vrogers@example.com,2014 BMW 520D Modern Line,BMW,2014.0,520D,Sedan,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,4.7 L / 100 km,108083,White / Black,13/,844,Samantha Drive,Fire Track,"Seaford, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,28999
,Kristy,Conrad,u,02-6211-2622,bweaver@example.net,2012 BMW 118I Urban,BMW,2012.0,118I,Hatchback,USED,Automatic,"4 cyl, 1.6 L",Rear,Premium,5.8 L / 100 km,49427,White / -,4/,90,Brown Flat,Retreat,"Rozelle, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,19800
Mr.,James,Gutierrez,m,(07).5644.3008,john69@example.com,2016 Toyota HiAce SUPER GL 3.0L DIESEL AUTO 5 SEATER,Toyota,2016.0,HiAce,USED Dealer ad,USED,-,-,Other,-,-,105050,White / -,Flat 99 ,435,Debra Chase,Gardens,"Oakleigh, VIC",-,Commercial,,,43950
Mr.,Chris,Davis,m,0204346374,cmosley@example.org,2017 Nissan Qashqai ST N-Sport,Nissan,2017.0,Qashqai,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,33257,Red / Black,Flat 45 ,69,Smith Plaza,Stairs,"Smeaton Grange, NSW",4 cyl,SUV, 4 Doors, 5 Seats,28888
,Ryan,Huffman,u,08-0474-0171,osmith@example.net,2009 Toyota Yaris NCP90R MY09 YR Hatchback 5dr Auto 4sp 1.3i,Toyota,2009.0,Yaris,LV's Discount Cars,USED,Automatic,-,Front,Unleaded,-,82659,Red / -,Flat 53 ,7,Cannon Basin,Highway,"Underwood, QLD",-,Hatchback,,,11999
Miss,Carolyn,Hunt,f,0943.7008,cruzlauren@example.org,2013 Volkswagen Touareg V6 TDI,Volkswagen,2013.0,Touareg,SUV,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,7.4 L / 100 km,177873,Grey / Leather,Unit 27 ,23,Kylie Common,Tarn,"Elderslie, NSW",6 cyl,SUV, 4 Doors, 5 Seats,19990
Dr.,Willie,Jones,m,0416 283 338,moralesedward@example.org,2014 Mercedes-Benz CLA200,Mercedes-Benz,2014.0,CLA200,Sedan,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,5.7 L / 100 km,67796,Black / Black,5/,79,Joan Villas,Underpass,"Jamisontown, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,31990
Dr.,Patrick,Zavala,m,+61.464.477.320,megan65@example.com,2014 Hyundai IX35 Elite AWD,Hyundai,2014.0,IX35,Hot Spot Autos Granville Commercial and 4x4,USED,Automatic,-,Other,Unleaded,-,89697,Orange / -,Unit 93 ,9,Kristen Reserve,Thoroughfare,"Granville, NSW",-,Wagon,,,18950
Miss,Heather,Chambers,f,02 4848 7990,kari92@example.com,2015 Volkswagen Polo 81 TSI Comfortline,Volkswagen,2015.0,Polo,Hatchback,USED,Manual,"4 cyl, 1.2 L",Front,Premium,4.9 L / 100 km,124810,Silver / -,82/,97,Justin Mount,Rise,"Nowra, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,13999
,Samantha,Baker,u,9767-4147,vmedina@example.org,2012 Toyota Landcruiser Sahara (4X4),Toyota,2012.0,Landcruiser,SUV,USED,Automatic,"8 cyl, 4.5 L",4WD,Diesel,10.3 L / 100 km,300000,White / -,515/,51,Kennedy Entrance,Tollway,"Underwood, QLD",8 cyl,SUV, 4 Doors, 8 Seats,65000
Mrs.,Misty,Fuller,f,(02).2506.5331,rebeccahicks@example.com,1999 Toyota Landcruiser (4X4),Toyota,1999.0,Landcruiser,SUV,USED,Manual,"6 cyl, 4.5 L",4WD,Unleaded,0 L / 100 km,473640,Black / -,5/,168,Sheila Centre,Copse,"Braybrook, VIC",6 cyl,SUV, 4 Doors, 6 Seats,13988
